"","date","team","opponent","team_score","opponent_score","tournament","city","country","neutral","team_abrv","opponent_abrv"
"6356",2001-11-07,"Guinea-Bissau","Mauritania",1,0,"Amílcar Cabral Cup","Ségou","Mali",TRUE,"GNB","MTN"
"6357",2001-11-07,"Japan","Italy",1,1,"Friendly","Saitama","Japan",FALSE,"JPN","ITA"
"6358",2001-11-07,"Mali","Benin",0,0,"Amílcar Cabral Cup","Ségou","Mali",FALSE,"MLI","BEN"
"6359",2001-11-08,"Argentina","Peru",2,0,"FIFA World Cup qualification","Buenos Aires","Argentina",FALSE,"ARG","PER"
"6360",2001-11-08,"South Korea","Senegal",0,1,"Friendly","Jeonju","South Korea",FALSE,"KOR","SEN"
"6361",2001-11-08,"Venezuela","Paraguay",3,1,"FIFA World Cup qualification","San Cristóbal","Venezuela",FALSE,"VEN","PAR"
"6362",2001-11-09,"Mali","Gambia",0,1,"Amílcar Cabral Cup","Ségou","Mali",FALSE,"MLI","GAM"
"6363",2001-11-10,"Austria","Turkey",0,1,"FIFA World Cup qualification","Vienna","Austria",FALSE,"AUT","TUR"
"6364",2001-11-10,"Belgium","Czech Republic",1,0,"FIFA World Cup qualification","Brussels","Belgium",FALSE,"BEL","CZE"
"6365",2001-11-10,"Denmark","Netherlands",1,1,"Friendly","Copenhagen","Denmark",FALSE,"DEN","NED"
"6366",2001-11-10,"England","Sweden",1,1,"Friendly","Manchester","England",FALSE,"ENG","SWE"
"6367",2001-11-10,"Greece","Estonia",4,2,"Friendly","Athens","Greece",FALSE,"GRE","EST"
"6368",2001-11-10,"Republic of Ireland","Iran",2,0,"FIFA World Cup qualification","Dublin","Republic of Ireland",FALSE,"IRL","IRN"
"6369",2001-11-10,"South Korea","Croatia",2,0,"Friendly","Seoul","South Korea",FALSE,"KOR","CRO"
"6370",2001-11-10,"Slovenia","Romania",2,1,"FIFA World Cup qualification","Ljubljana","Slovenia",FALSE,"SVN","ROU"
"6371",2001-11-10,"South Africa","Egypt",1,0,"Friendly","Johannesburg","South Africa",FALSE,"RSA","EGY"
"6372",2001-11-10,"Ukraine","Germany",1,1,"FIFA World Cup qualification","Kyïv","Ukraine",FALSE,"UKR","GER"
"6373",2001-11-11,"Australia","France",1,1,"Friendly","Melbourne","Australia",FALSE,"AUS","FRA"
"6374",2001-11-11,"Jamaica","Costa Rica",0,1,"FIFA World Cup qualification","Kingston","Jamaica",FALSE,"JAM","CRC"
"6375",2001-11-11,"Mali","Guinea-Bissau",2,1,"Amílcar Cabral Cup","Bamako","Mali",FALSE,"MLI","GNB"
"6376",2001-11-11,"Mexico","Honduras",3,0,"FIFA World Cup qualification","Mexico City","Mexico",FALSE,"MEX","HON"
"6377",2001-11-11,"Trinidad and Tobago","United States",0,0,"FIFA World Cup qualification","Port of Spain","Trinidad and Tobago",FALSE,"TRI","USA"
"6378",2001-11-13,"South Korea","Croatia",1,1,"Friendly","Gwangju","South Korea",FALSE,"KOR","CRO"
"6379",2001-11-14,"Brazil","Venezuela",3,0,"FIFA World Cup qualification","São Luís","Brazil",FALSE,"BRA","VEN"
"6380",2001-11-14,"Chile","Ecuador",0,0,"FIFA World Cup qualification","Santiago","Chile",FALSE,"CHI","ECU"
"6381",2001-11-14,"Czech Republic","Belgium",0,1,"FIFA World Cup qualification","Prague","Czech Republic",FALSE,"CZE","BEL"
