"","date","team","opponent","team_score","opponent_score","tournament","city","country","neutral","team_abrv","opponent_abrv"
"1",1993-08-09,"Guinea","Sierra Leone",4,0,"Friendly","Conakry","Guinea",FALSE,"GUI","SLE"
"2",1993-08-11,"Faroe Islands","Norway",0,7,"Friendly","Toftir","Faroe Islands",FALSE,"FRO","NOR"
"3",1993-08-11,"Sweden","Switzerland",1,2,"Friendly","Borås","Sweden",FALSE,"SWE","SUI"
"4",1993-08-15,"Australia","Canada",2,1,"FIFA World Cup qualification","Sydney","Australia",FALSE,"AUS","CAN"
"5",1993-08-15,"Bolivia","Ecuador",1,0,"FIFA World Cup qualification","La Paz","Bolivia",FALSE,"BOL","ECU"
"6",1993-08-15,"Colombia","Argentina",2,1,"FIFA World Cup qualification","Barranquilla","Colombia",FALSE,"COL","ARG"
"7",1993-08-15,"Congo","Guinea",0,0,"African Cup of Nations qualification","Pointe-Noire","Congo",FALSE,"CGO","GUI"
"8",1993-08-15,"Paraguay","Peru",2,1,"FIFA World Cup qualification","Asunción","Paraguay",FALSE,"PAR","PER"
"9",1993-08-15,"Uruguay","Brazil",1,1,"FIFA World Cup qualification","Montevideo","Uruguay",FALSE,"URU","BRA"
"10",1993-08-22,"Argentina","Peru",2,1,"FIFA World Cup qualification","Buenos Aires","Argentina",FALSE,"ARG","PER"
"11",1993-08-22,"Bolivia","Venezuela",7,0,"FIFA World Cup qualification","La Paz","Bolivia",FALSE,"BOL","VEN"
"12",1993-08-22,"Brazil","Ecuador",2,0,"FIFA World Cup qualification","São Paulo","Brazil",FALSE,"BRA","ECU"
"13",1993-08-22,"Paraguay","Colombia",1,1,"FIFA World Cup qualification","Asunción","Paraguay",FALSE,"PAR","COL"
"14",1993-08-22,"Sweden","France",1,1,"FIFA World Cup qualification","Solna","Sweden",FALSE,"SWE","FRA"
"15",1993-08-25,"Austria","Finland",3,0,"FIFA World Cup qualification","Vienna","Austria",FALSE,"AUT","FIN"
"16",1993-08-25,"Denmark","Lithuania",4,0,"FIFA World Cup qualification","Copenhagen","Denmark",FALSE,"DEN","LTU"
"17",1993-08-29,"Argentina","Paraguay",0,0,"FIFA World Cup qualification","Buenos Aires","Argentina",FALSE,"ARG","PAR"
"18",1993-08-29,"Brazil","Bolivia",6,0,"FIFA World Cup qualification","Recife","Brazil",FALSE,"BRA","BOL"
"19",1993-08-29,"Colombia","Peru",4,0,"FIFA World Cup qualification","Barranquilla","Colombia",FALSE,"COL","PER"
"20",1993-08-29,"Uruguay","Venezuela",4,0,"FIFA World Cup qualification","Montevideo","Uruguay",FALSE,"URU","VEN"
"21",1993-08-31,"Iceland","United States",0,1,"Friendly","Reykjavík","Iceland",FALSE,"ISL","USA"
"22",1993-09-05,"Argentina","Colombia",0,5,"FIFA World Cup qualification","Buenos Aires","Argentina",FALSE,"ARG","COL"
"23",1993-09-05,"Brazil","Venezuela",4,0,"FIFA World Cup qualification","Belo Horizonte","Brazil",FALSE,"BRA","VEN"
"24",1993-09-05,"Ecuador","Uruguay",0,1,"FIFA World Cup qualification","Guayaquil","Ecuador",FALSE,"ECU","URU"
"25",1993-09-05,"Estonia","Portugal",0,2,"FIFA World Cup qualification","Tallinn","Estonia",FALSE,"EST","POR"
"26",1993-09-05,"Peru","Paraguay",2,2,"FIFA World Cup qualification","Lima","Peru",FALSE,"PER","PAR"
"27",1993-09-06,"Eswatini","Zimbabwe",0,1,"Friendly","Mbabane","Eswatini",FALSE,"SWZ","ZIM"
"28",1993-09-08,"Albania","Denmark",0,1,"FIFA World Cup qualification","Tirana","Albania",FALSE,"ALB","DEN"
"29",1993-09-08,"Bulgaria","Sweden",1,1,"FIFA World Cup qualification","Sofia","Bulgaria",FALSE,"BUL","SWE"
"30",1993-09-08,"England","Poland",3,0,"FIFA World Cup qualification","London","England",FALSE,"ENG","POL"
"31",1993-09-08,"Faroe Islands","Romania",0,4,"FIFA World Cup qualification","Toftir","Faroe Islands",FALSE,"FRO","ROU"
"32",1993-09-08,"Finland","France",0,2,"FIFA World Cup qualification","Tampere","Finland",FALSE,"FIN","FRA"
"33",1993-09-08,"Hungary","Russia",1,3,"FIFA World Cup qualification","Budapest","Hungary",FALSE,"HUN","RUS"
"34",1993-09-08,"Iceland","Luxembourg",1,0,"FIFA World Cup qualification","Reykjavík","Iceland",FALSE,"ISL","LUX"
"35",1993-09-08,"Republic of Ireland","Lithuania",2,0,"FIFA World Cup qualification","Dublin","Republic of Ireland",FALSE,"IRL","LTU"
"36",1993-09-08,"Northern Ireland","Latvia",2,0,"FIFA World Cup qualification","Belfast","Northern Ireland",FALSE,"NIR","LVA"
"37",1993-09-08,"Norway","United States",1,0,"Friendly","Oslo","Norway",FALSE,"NOR","USA"
"38",1993-09-08,"Scotland","Switzerland",1,1,"FIFA World Cup qualification","Aberdeen","Scotland",FALSE,"SCO","SUI"
"39",1993-09-08,"Spain","Chile",2,0,"Friendly","Alicante","Spain",FALSE,"ESP","CHI"
"40",1993-09-08,"Wales","Czech Republic",2,2,"FIFA World Cup qualification","Cardiff","Wales",FALSE,"WAL","CZE"
"41",1993-09-12,"Uruguay","Bolivia",2,1,"FIFA World Cup qualification","Montevideo","Uruguay",FALSE,"URU","BOL"
"42",1993-09-12,"Venezuela","Ecuador",2,1,"FIFA World Cup qualification","Puerto Ordaz","Venezuela",FALSE,"VEN","ECU"
"43",1993-09-15,"Morocco","Mali",3,0,"Friendly","Casablanca","Morocco",FALSE,"MAR","MLI"
"44",1993-09-17,"Saudi Arabia","Thailand",4,0,"Friendly","Dammam","Saudi Arabia",FALSE,"KSA","THA"
"45",1993-09-19,"Brazil","Uruguay",2,0,"FIFA World Cup qualification","Rio de Janeiro","Brazil",FALSE,"BRA","URU"
"46",1993-09-19,"Ecuador","Bolivia",1,1,"FIFA World Cup qualification","Guayaquil","Ecuador",FALSE,"ECU","BOL"
"47",1993-09-19,"Zimbabwe","Senegal",2,0,"Friendly","Harare","Zimbabwe",FALSE,"ZIM","SEN"
"48",1993-09-20,"Saudi Arabia","Thailand",3,0,"Friendly","Dammam","Saudi Arabia",FALSE,"KSA","THA"
"49",1993-09-22,"Albania","Spain",1,5,"FIFA World Cup qualification","Tirana","Albania",FALSE,"ALB","ESP"
"50",1993-09-22,"Estonia","Italy",0,3,"FIFA World Cup qualification","Tallinn","Estonia",FALSE,"EST","ITA"
"51",1993-09-22,"Mexico","Cameroon",1,0,"Friendly","Los Angeles","United States",TRUE,"MEX","CMR"
"52",1993-09-22,"Norway","Poland",1,0,"FIFA World Cup qualification","Oslo","Norway",FALSE,"NOR","POL"
"53",1993-09-22,"Romania","Israel",1,0,"Friendly","Bucharest","Romania",FALSE,"ROU","ISR"
"54",1993-09-22,"San Marino","Netherlands",0,7,"FIFA World Cup qualification","Bologna","Italy",TRUE,"SMR","NED"
"55",1993-09-22,"Tunisia","Germany",1,1,"Friendly","Tunis","Tunisia",FALSE,"TUN","GER"
"56",1993-09-23,"Saudi Arabia","Costa Rica",1,2,"Friendly","Khobar","Saudi Arabia",FALSE,"KSA","CRC"
"57",1993-09-24,"South Korea","Australia",1,1,"Friendly","Seoul","South Korea",FALSE,"KOR","AUS"
"58",1993-09-25,"Nigeria","Ivory Coast",4,1,"FIFA World Cup qualification","Lagos","Nigeria",FALSE,"NGA","CIV"
"59",1993-09-26,"South Korea","Australia",1,0,"Friendly","Seoul","South Korea",FALSE,"KOR","AUS"
"60",1993-09-26,"Zambia","Senegal",4,0,"FIFA World Cup qualification","Lusaka","Zambia",FALSE,"ZAM","SEN"
"61",1993-09-26,"Zimbabwe","Guinea",1,0,"FIFA World Cup qualification","Harare","Zimbabwe",FALSE,"ZIM","GUI"
"62",1993-09-27,"Saudi Arabia","Costa Rica",3,2,"Friendly","Khobar","Saudi Arabia",FALSE,"KSA","CRC"
"63",1993-09-29,"Mexico","Poland",0,0,"Friendly","Oakland","United States",TRUE,"MEX","POL"
"64",1993-10-01,"Morocco","Gabon",1,0,"Friendly","Rabat","Morocco",FALSE,"MAR","GAB"
"65",1993-10-04,"Japan","Ivory Coast",1,0,"Friendly","Tokyo","Japan",FALSE,"JPN","CIV"
"66",1993-10-05,"Cyprus","Israel",2,2,"Friendly","Limassol","Cyprus",FALSE,"CYP","ISR"
"67",1993-10-06,"Belgium","Gabon",2,1,"Friendly","Brussels","Belgium",FALSE,"BEL","GAB"
"68",1993-10-06,"Mexico","South Africa",4,0,"Friendly","Los Angeles","United States",TRUE,"MEX","RSA"
"69",1993-10-06,"Saudi Arabia","Russia",4,2,"Friendly","Khobar","Saudi Arabia",FALSE,"KSA","RUS"
"70",1993-10-08,"Algeria","Nigeria",1,1,"FIFA World Cup qualification","Algiers","Algeria",FALSE,"ALG","NGA"
"71",1993-10-10,"Cameroon","Zimbabwe",3,1,"FIFA World Cup qualification","Yaoundé","Cameroon",FALSE,"CMR","ZIM"
"72",1993-10-10,"Morocco","Zambia",1,0,"FIFA World Cup qualification","Casablanca","Morocco",FALSE,"MAR","ZAM"
"73",1993-10-12,"Luxembourg","Greece",1,3,"FIFA World Cup qualification","Luxembourg","Luxembourg",FALSE,"LUX","GRE"
"74",1993-10-13,"Bulgaria","Austria",4,1,"FIFA World Cup qualification","Sofia","Bulgaria",FALSE,"BUL","AUT"
"75",1993-10-13,"Denmark","Northern Ireland",1,0,"FIFA World Cup qualification","Copenhagen","Denmark",FALSE,"DEN","NIR"
"76",1993-10-13,"France","Israel",2,3,"FIFA World Cup qualification","Paris","France",FALSE,"FRA","ISR"
"77",1993-10-13,"Germany","Uruguay",5,0,"Friendly","Karlsruhe","Germany",FALSE,"GER","URU"
"78",1993-10-13,"Republic of Ireland","Spain",1,3,"FIFA World Cup qualification","Dublin","Republic of Ireland",FALSE,"IRL","ESP"
"79",1993-10-13,"Italy","Scotland",3,1,"FIFA World Cup qualification","Rome","Italy",FALSE,"ITA","SCO"
"80",1993-10-13,"Netherlands","England",2,0,"FIFA World Cup qualification","Rotterdam","Netherlands",FALSE,"NED","ENG"
"81",1993-10-13,"Poland","Norway",0,3,"FIFA World Cup qualification","Poznań","Poland",FALSE,"POL","NOR"
"82",1993-10-13,"Portugal","Switzerland",1,0,"FIFA World Cup qualification","Porto","Portugal",FALSE,"POR","SUI"
"83",1993-10-13,"Romania","Belgium",2,1,"FIFA World Cup qualification","Bucharest","Romania",FALSE,"ROU","BEL"
"84",1993-10-13,"Slovenia","North Macedonia",1,4,"Friendly","Kranj","Slovenia",FALSE,"SVN","MKD"
"85",1993-10-13,"Sweden","Finland",3,2,"FIFA World Cup qualification","Solna","Sweden",FALSE,"SWE","FIN"
"86",1993-10-13,"United States","Mexico",1,1,"Friendly","Washington","United States",FALSE,"USA","MEX"
"87",1993-10-13,"Wales","Cyprus",2,0,"FIFA World Cup qualification","Cardiff","Wales",FALSE,"WAL","CYP"
"88",1993-10-15,"North Korea","Iraq",3,2,"FIFA World Cup qualification","Doha","Qatar",TRUE,"PRK","IRQ"
"89",1993-10-15,"Saudi Arabia","Japan",0,0,"FIFA World Cup qualification","Doha","Qatar",TRUE,"KSA","JPN"
"90",1993-10-16,"Iran","South Korea",0,3,"FIFA World Cup qualification","Doha","Qatar",TRUE,"IRN","KOR"
"91",1993-10-16,"United States","Ukraine",1,2,"Friendly","High Point","United States",FALSE,"USA","UKR"
"92",1993-10-17,"Tunisia","Iceland",3,1,"Friendly","Tunis","Tunisia",FALSE,"TUN","ISL"
"93",1993-10-18,"Japan","Iran",1,2,"FIFA World Cup qualification","Doha","Qatar",TRUE,"JPN","IRN"
"94",1993-10-18,"North Korea","Saudi Arabia",1,2,"FIFA World Cup qualification","Doha","Qatar",TRUE,"PRK","KSA"
"95",1993-10-19,"Iraq","South Korea",2,2,"FIFA World Cup qualification","Doha","Qatar",TRUE,"IRQ","KOR"
"96",1993-10-20,"Mexico","Ukraine",2,1,"Friendly","San Diego","United States",TRUE,"MEX","UKR"
"97",1993-10-21,"North Korea","Japan",0,3,"FIFA World Cup qualification","Doha","Qatar",TRUE,"PRK","JPN"
"98",1993-10-22,"Iran","Iraq",1,2,"FIFA World Cup qualification","Doha","Qatar",TRUE,"IRN","IRQ"
"99",1993-10-22,"South Korea","Saudi Arabia",1,1,"FIFA World Cup qualification","Doha","Qatar",TRUE,"KOR","KSA"
"100",1993-10-23,"United States","Ukraine",0,1,"Friendly","Bethlehem","United States",FALSE,"USA","UKR"
"101",1993-10-24,"Burundi","Guinea",0,0,"African Cup of Nations qualification","Libreville","Gabon",TRUE,"BDI","GUI"
"102",1993-10-24,"Iraq","Saudi Arabia",1,1,"FIFA World Cup qualification","Doha","Qatar",TRUE,"IRQ","KSA"
"103",1993-10-25,"Iran","North Korea",2,1,"FIFA World Cup qualification","Doha","Qatar",TRUE,"IRN","PRK"
"104",1993-10-25,"Japan","South Korea",1,0,"FIFA World Cup qualification","Doha","Qatar",TRUE,"JPN","KOR"
"105",1993-10-26,"Liechtenstein","Estonia",0,2,"Friendly","Balzers","Liechtenstein",FALSE,"LIE","EST"
"106",1993-10-26,"United Arab Emirates","Jordan",2,1,"Friendly","Al Ain","United Arab Emirates",FALSE,"UAE","JOR"
"107",1993-10-27,"Czech Republic","Cyprus",3,0,"FIFA World Cup qualification","Košice","Slovakia",TRUE,"CZE","CYP"
"108",1993-10-27,"Hungary","Luxembourg",1,0,"FIFA World Cup qualification","Budapest","Hungary",FALSE,"HUN","LUX"
"109",1993-10-27,"Israel","Austria",1,1,"FIFA World Cup qualification","Ramat-Gan","Israel",FALSE,"ISR","AUT"
"110",1993-10-27,"Turkey","Poland",2,1,"FIFA World Cup qualification","Istanbul","Turkey",FALSE,"TUR","POL"
"111",1993-10-28,"Iraq","Japan",2,2,"FIFA World Cup qualification","Doha","Qatar",TRUE,"IRQ","JPN"
"112",1993-10-28,"South Korea","North Korea",3,0,"FIFA World Cup qualification","Doha","Qatar",TRUE,"KOR","PRK"
"113",1993-10-28,"Saudi Arabia","Iran",4,3,"FIFA World Cup qualification","Doha","Qatar",TRUE,"KSA","IRN"
"114",1993-10-28,"United Arab Emirates","Jordan",0,2,"Friendly","Al Ain","United Arab Emirates",FALSE,"UAE","JOR"
"115",1993-10-31,"Australia","Argentina",1,1,"FIFA World Cup qualification","Sydney","Australia",FALSE,"AUS","ARG"
"116",1993-11-03,"Mexico","China PR",3,0,"Friendly","San Diego","United States",TRUE,"MEX","CHN"
"117",1993-11-05,"Egypt","Malta",3,0,"Friendly","Tunis","Tunisia",TRUE,"EGY","MLT"
"118",1993-11-05,"Tunisia","Gabon",4,0,"Friendly","Tunis","Tunisia",FALSE,"TUN","GAB"
"119",1993-11-07,"Gabon","Malta",1,2,"Friendly","Tunis","Tunisia",TRUE,"GAB","MLT"
"120",1993-11-07,"Tunisia","Egypt",2,1,"Friendly","Tunis","Tunisia",FALSE,"TUN","EGY"
"121",1993-11-07,"United States","Jamaica",1,0,"Friendly","Fullerton","United States",FALSE,"USA","JAM"
"122",1993-11-10,"Austria","Sweden",1,1,"FIFA World Cup qualification","Vienna","Austria",FALSE,"AUT","SWE"
"123",1993-11-10,"Israel","Finland",1,3,"FIFA World Cup qualification","Ramat-Gan","Israel",FALSE,"ISR","FIN"
"124",1993-11-10,"Portugal","Estonia",3,0,"FIFA World Cup qualification","Lisbon","Portugal",FALSE,"POR","EST"
"125",1993-11-10,"Turkey","Norway",2,1,"FIFA World Cup qualification","Istanbul","Turkey",FALSE,"TUR","NOR"
"126",1993-11-14,"Antigua and Barbuda","Saint Kitts and Nevis",3,0,"Friendly","St. John's","Antigua and Barbuda",FALSE,"ATG","KNA"
"127",1993-11-14,"United States","Cayman Islands",8,1,"Friendly","Mission Viejo","United States",FALSE,"USA","CAY"
"128",1993-11-16,"Slovakia","Slovenia",2,0,"Friendly","Prievidza","Slovakia",FALSE,"SVK","SVN"
"129",1993-11-17,"Argentina","Australia",1,0,"FIFA World Cup qualification","Buenos Aires","Argentina",FALSE,"ARG","AUS"
"130",1993-11-17,"Belgium","Czech Republic",0,0,"FIFA World Cup qualification","Brussels","Belgium",FALSE,"BEL","CZE"
"131",1993-11-17,"France","Bulgaria",1,2,"FIFA World Cup qualification","Paris","France",FALSE,"FRA","BUL"
"132",1993-11-17,"Germany","Brazil",2,1,"Friendly","Cologne","Germany",FALSE,"GER","BRA"
"133",1993-11-17,"Greece","Russia",1,0,"FIFA World Cup qualification","Athens","Greece",FALSE,"GRE","RUS"
"134",1993-11-17,"Italy","Portugal",1,0,"FIFA World Cup qualification","Milan","Italy",FALSE,"ITA","POR"
"135",1993-11-17,"Malta","Scotland",0,2,"FIFA World Cup qualification","Attard","Malta",FALSE,"MLT","SCO"
"136",1993-11-17,"Northern Ireland","Republic of Ireland",1,1,"FIFA World Cup qualification","Belfast","Northern Ireland",FALSE,"NIR","IRL"
"137",1993-11-17,"Poland","Netherlands",1,3,"FIFA World Cup qualification","Poznań","Poland",FALSE,"POL","NED"
"138",1993-11-17,"San Marino","England",1,7,"FIFA World Cup qualification","Bologna","Italy",TRUE,"SMR","ENG"
"139",1993-11-17,"Spain","Denmark",1,0,"FIFA World Cup qualification","Seville","Spain",FALSE,"ESP","DEN"
"140",1993-11-17,"Switzerland","Estonia",4,0,"FIFA World Cup qualification","Zürich","Switzerland",FALSE,"SUI","EST"
"141",1993-11-17,"Wales","Romania",1,2,"FIFA World Cup qualification","Cardiff","Wales",FALSE,"WAL","ROU"
"142",1993-11-22,"Gambia","Mauritania",2,4,"Friendly","Banjul","Gambia",FALSE,"GAM","MTN"
"143",1993-11-26,"Gambia","Ghana",3,0,"Friendly","Freetown","Sierra Leone",TRUE,"GAM","GHA"
"144",1993-11-26,"Sierra Leone","Guinea",1,1,"Amílcar Cabral Cup","Freetown","Sierra Leone",FALSE,"SLE","GUI"
"145",1993-11-27,"Guinea-Bissau","Mauritania",1,0,"Amílcar Cabral Cup","Freetown","Sierra Leone",TRUE,"GNB","MTN"
"146",1993-11-27,"Senegal","Mali",0,1,"Amílcar Cabral Cup","Freetown","Sierra Leone",TRUE,"SEN","MLI"
"147",1993-11-28,"Guinea","Gambia",1,2,"Amílcar Cabral Cup","Freetown","Sierra Leone",TRUE,"GUI","GAM"
"148",1993-11-28,"Sierra Leone","Ghana",2,3,"Friendly","Freetown","Sierra Leone",FALSE,"SLE","GHA"
"149",1993-11-29,"Mali","Guinea-Bissau",3,0,"Amílcar Cabral Cup","Freetown","Sierra Leone",TRUE,"MLI","GNB"
"150",1993-11-29,"Senegal","Mauritania",4,0,"Amílcar Cabral Cup","Freetown","Sierra Leone",TRUE,"SEN","MTN"
"151",1993-11-30,"Ghana","Guinea",1,0,"Friendly","Freetown","Sierra Leone",TRUE,"GHA","GUI"
"152",1993-11-30,"Sierra Leone","Gambia",1,1,"Amílcar Cabral Cup","Freetown","Sierra Leone",FALSE,"SLE","GAM"
"153",1993-11-30,"Tahiti","Fiji",3,0,"Friendly","Papeete","French Polynesia",FALSE,"TAH","FIJ"
"154",1993-12-01,"Kenya","Uganda",2,1,"Friendly","Nairobi","Kenya",FALSE,"KEN","UGA"
"155",1993-12-01,"Mali","Mauritania",0,0,"Amílcar Cabral Cup","Freetown","Sierra Leone",TRUE,"MLI","MTN"
"156",1993-12-01,"Senegal","Guinea-Bissau",0,0,"Amílcar Cabral Cup","Freetown","Sierra Leone",TRUE,"SEN","GNB"
"157",1993-12-03,"Gambia","Senegal",0,2,"Amílcar Cabral Cup","Freetown","Sierra Leone",TRUE,"GAM","SEN"
"158",1993-12-03,"Sierra Leone","Mali",2,0,"Amílcar Cabral Cup","Freetown","Sierra Leone",FALSE,"SLE","MLI"
"159",1993-12-05,"Gambia","Mali",2,0,"Amílcar Cabral Cup","Freetown","Sierra Leone",TRUE,"GAM","MLI"
"160",1993-12-05,"Sierra Leone","Senegal",2,0,"Amílcar Cabral Cup","Freetown","Sierra Leone",FALSE,"SLE","SEN"
"161",1993-12-05,"United States","El Salvador",7,0,"Friendly","Mission Viejo","United States",FALSE,"USA","SLV"
"162",1993-12-06,"Tanzania","Uganda",1,0,"Friendly","Nairobi","Kenya",TRUE,"TAN","UGA"
"163",1993-12-10,"Bangladesh","Burma",3,1,"Friendly","Dhaka","Bangladesh",FALSE,"BAN","MMR"
"164",1993-12-10,"Kenya","Tanzania",2,1,"Friendly","Nairobi","Kenya",FALSE,"KEN","TAN"
"165",1993-12-15,"Argentina","Germany",2,1,"Friendly","Miami","United States",TRUE,"ARG","GER"
"166",1993-12-16,"Mexico","Brazil",0,1,"Friendly","Guadalajara","Mexico",FALSE,"MEX","BRA"
"167",1993-12-18,"United States","Germany",0,3,"Friendly","Palo Alto","United States",FALSE,"USA","GER"
"168",1993-12-19,"Mali","Ivory Coast",0,1,"Friendly","Bamako","Mali",FALSE,"MLI","CIV"
"169",1993-12-22,"Mexico","Germany",0,0,"Friendly","Mexico City","Mexico",FALSE,"MEX","GER"
"170",1993-12-29,"Ghana","Egypt",0,0,"Friendly","Accra","Ghana",FALSE,"GHA","EGY"
"171",1993-12-31,"Ghana","Tunisia",1,1,"Friendly","Accra","Ghana",FALSE,"GHA","TUN"
"172",1994-01-02,"Barbados","Grenada",0,0,"Friendly","Bridgetown","Barbados",FALSE,"BRB","GRN"
"173",1994-01-02,"Ghana","Egypt",2,1,"Friendly","Accra","Ghana",FALSE,"GHA","EGY"
"174",1994-01-05,"Mali","Burkina Faso",1,1,"Friendly","Bamako","Mali",FALSE,"MLI","BFA"
"175",1994-01-09,"Mauritania","Mali",1,3,"Friendly","Nouakchott","Mauritania",FALSE,"MTN","MLI"
"176",1994-01-11,"Thailand","Nigeria",1,1,"Friendly","Bangkok","Thailand",FALSE,"THA","NGA"
"177",1994-01-15,"United States","Norway",2,1,"Friendly","Tempe","United States",FALSE,"USA","NOR"
"178",1994-01-18,"Guinea","Ivory Coast",3,0,"Friendly","Conakry","Guinea",FALSE,"GUI","CIV"
"179",1994-01-19,"Costa Rica","Norway",0,0,"Friendly","San Diego","United States",TRUE,"CRC","NOR"
"180",1994-01-19,"Mexico","Bulgaria",1,1,"Friendly","San Diego","United States",TRUE,"MEX","BUL"
"181",1994-01-19,"Spain","Portugal",2,2,"Friendly","Vigo","Spain",FALSE,"ESP","POR"
"182",1994-01-19,"Suriname","French Guiana",1,0,"CFU Caribbean Cup qualification","Paramaribo","Suriname",FALSE,"SUR","GUF"
"183",1994-01-19,"Tunisia","Netherlands",2,2,"Friendly","Tunis","Tunisia",FALSE,"TUN","NED"
"184",1994-01-21,"Guyana","French Guiana",1,1,"CFU Caribbean Cup qualification","Paramaribo","Suriname",TRUE,"GUY","GUF"
"185",1994-01-22,"United States","Switzerland",1,1,"Friendly","Fullerton","United States",FALSE,"USA","SUI"
"186",1994-01-23,"Barbados","Puerto Rico",0,1,"CFU Caribbean Cup qualification","Bridgetown","Barbados",FALSE,"BRB","PUR"
"187",1994-01-23,"Mali","Senegal",1,0,"Friendly","Bamako","Mali",FALSE,"MLI","SEN"
"188",1994-01-23,"Saudi Arabia","China PR",1,0,"Friendly","Riyadh","Saudi Arabia",FALSE,"KSA","CHN"
"189",1994-01-23,"Suriname","Guyana",2,0,"CFU Caribbean Cup qualification","Paramaribo","Suriname",FALSE,"SUR","GUY"
"190",1994-01-25,"Grenada","Puerto Rico",1,0,"CFU Caribbean Cup qualification","Bridgetown","Barbados",TRUE,"GRN","PUR"
"191",1994-01-25,"Qatar","Finland",1,0,"Friendly","Doha","Qatar",FALSE,"QAT","FIN"
"192",1994-01-26,"Mexico","Switzerland",1,5,"Friendly","Oakland","United States",TRUE,"MEX","SUI"
"193",1994-01-26,"Saudi Arabia","China PR",1,1,"Friendly","Riyadh","Saudi Arabia",FALSE,"KSA","CHN"
"194",1994-01-27,"Barbados","Grenada",3,2,"CFU Caribbean Cup qualification","Bridgetown","Barbados",FALSE,"BRB","GRN"
"195",1994-01-27,"Qatar","Finland",0,0,"Friendly","Doha","Qatar",FALSE,"QAT","FIN"
"196",1994-01-28,"Venezuela","Colombia",1,2,"Friendly","Barinas","Venezuela",FALSE,"VEN","COL"
"197",1994-01-29,"Burkina Faso","Guinea",1,1,"Friendly","Ouagadougou","Burkina Faso",FALSE,"BFA","GUI"
"198",1994-01-29,"Ivory Coast","Niger",5,3,"Friendly","Ouagadougou","Burkina Faso",TRUE,"CIV","NIG"
"199",1994-01-29,"United States","Russia",1,1,"Friendly","Seattle","United States",FALSE,"USA","RUS"
"200",1994-01-30,"Burkina Faso","Ivory Coast",0,1,"Friendly","Ouagadougou","Burkina Faso",FALSE,"BFA","CIV"
"201",1994-01-30,"Guinea","Niger",1,3,"Friendly","Ouagadougou","Burkina Faso",TRUE,"GUI","NIG"
"202",1994-01-30,"Oman","Finland",0,2,"Friendly","Muscat","Oman",FALSE,"OMA","FIN"
"203",1994-01-30,"Senegal","Mali",0,0,"Friendly","Dakar","Senegal",FALSE,"SEN","MLI"
"204",1994-02-01,"Oman","Finland",1,1,"Friendly","Muscat","Oman",FALSE,"OMA","FIN"
"205",1994-02-02,"Egypt","Morocco",1,1,"United Arab Emirates Friendship Tournament","Sharjah","United Arab Emirates",TRUE,"EGY","MAR"
"206",1994-02-02,"Mexico","Russia",1,4,"Friendly","Oakland","United States",TRUE,"MEX","RUS"
"207",1994-02-02,"United Arab Emirates","Slovakia",0,1,"United Arab Emirates Friendship Tournament","Sharjah","United Arab Emirates",FALSE,"UAE","SVK"
"208",1994-02-04,"Egypt","Slovakia",1,0,"United Arab Emirates Friendship Tournament","Sharjah","United Arab Emirates",TRUE,"EGY","SVK"
"209",1994-02-04,"Oman","Kenya",1,0,"Friendly","Muscat","Oman",FALSE,"OMA","KEN"
"210",1994-02-04,"United Arab Emirates","Morocco",1,1,"United Arab Emirates Friendship Tournament","Sharjah","United Arab Emirates",FALSE,"UAE","MAR"
"211",1994-02-06,"Morocco","Slovakia",2,1,"United Arab Emirates Friendship Tournament","Sharjah","United Arab Emirates",TRUE,"MAR","SVK"
"212",1994-02-06,"Oman","Kenya",2,0,"Friendly","Muscat","Oman",FALSE,"OMA","KEN"
"213",1994-02-06,"Saudi Arabia","Colombia",1,1,"Friendly","Jeddah","Saudi Arabia",FALSE,"KSA","COL"
"214",1994-02-06,"United Arab Emirates","Egypt",0,1,"United Arab Emirates Friendship Tournament","Dubai","United Arab Emirates",FALSE,"UAE","EGY"
"215",1994-02-07,"Gambia","Senegal",0,0,"Friendly","Banjul","Gambia",FALSE,"GAM","SEN"
"216",1994-02-08,"Georgia","Slovenia",0,1,"Malta International Tournament","Attard","Malta",TRUE,"GEO","SVN"
"217",1994-02-08,"Malta","Tunisia",1,1,"Malta International Tournament","Attard","Malta",FALSE,"MLT","TUN"
"218",1994-02-09,"Spain","Poland",1,1,"Friendly","Santa Cruz de Tenerife","Spain",FALSE,"ESP","POL"
"219",1994-02-10,"Malta","Georgia",0,1,"Malta International Tournament","Attard","Malta",FALSE,"MLT","GEO"
"220",1994-02-10,"Slovenia","Tunisia",2,2,"Malta International Tournament","Attard","Malta",TRUE,"SVN","TUN"
"221",1994-02-12,"Georgia","Tunisia",2,0,"Malta International Tournament","Attard","Malta",TRUE,"GEO","TUN"
"222",1994-02-12,"Malawi","Zambia",0,3,"Friendly","Blantyre","Malawi",FALSE,"MWI","ZAM"
"223",1994-02-12,"Malta","Slovenia",0,1,"Malta International Tournament","Attard","Malta",FALSE,"MLT","SVN"
"224",1994-02-13,"Malawi","Zambia",0,2,"Friendly","Blantyre","Malawi",FALSE,"MWI","ZAM"
"225",1994-02-13,"Romania","United States",2,1,"Lunar New Year Cup","Kowloon","Hong Kong",TRUE,"ROU","USA"
"226",1994-02-16,"Italy","France",0,1,"Friendly","Naples","Italy",FALSE,"ITA","FRA"
