팀,구분,연도,기록
삼성,출루율,2007,0.343
삼성,출루율,2008,0.356
삼성,출루율,2009,0.35
삼성,출루율,2010,0.352
삼성,출루율,2011,0.358
삼성,출루율,2012,0.326
삼성,출루율,2013,0.345
삼성,출루율,2014,0.369
삼성,출루율,2015,0.356
삼성,출루율,2016,0.372
삼성,출루율,2017,0.356
삼성,출루율,2018,0.357
삼성,출루율,2019,0.316
삼성,출루율,2020,0.353
삼성,장타력,1982,0.373
삼성,장타력,1983,0.366
삼성,장타력,1984,0.377
삼성,장타력,1985,0.377
삼성,장타력,1986,0.333
삼성,장타력,1987,0.36
삼성,장타력,1988,0.377
삼성,장타력,1989,0.327
삼성,장타력,1990,0.335
삼성,장타력,1991,0.378
삼성,장타력,1992,0.417
삼성,장타력,1993,0.328
삼성,장타력,1994,0.357
삼성,장타력,1995,0.364
삼성,장타력,1996,0.393
삼성,장타력,1997,0.346
삼성,장타력,1998,0.386
삼성,장타력,1999,0.469
삼성,장타력,2000,0.385
삼성,장타력,2001,0.425
삼성,장타력,2002,0.355
삼성,장타력,2003,0.366
삼성,장타력,2004,0.364
삼성,장타력,2005,0.372
삼성,장타력,2006,0.357
삼성,장타력,2007,0.377
삼성,장타력,2008,0.447
삼성,장타력,2009,0.423
삼성,장타력,2010,0.465
삼성,장타력,2011,0.422
삼성,장타력,2012,0.364
삼성,장타력,2013,0.362
삼성,장타력,2014,0.436
삼성,장타력,2015,0.446
삼성,장타력,2016,0.422
삼성,장타력,2017,0.433
삼성,장타력,2018,0.48
삼성,장타력,2019,0.358
삼성,장타력,2020,0.408
삼성,OPS,1982,0.717
삼성,OPS,1983,0.679
삼성,OPS,1984,0.78
삼성,OPS,1985,0.744
삼성,OPS,1986,0.649
삼성,OPS,1987,0.726
삼성,OPS,1988,0.716
삼성,OPS,1989,0.664
삼성,OPS,1990,0.666
삼성,OPS,1991,0.717
삼성,OPS,1992,0.782
삼성,OPS,1993,0.647
삼성,OPS,1994,0.682
삼성,OPS,1995,0.696
삼성,OPS,1996,0.733
삼성,OPS,1997,0.654
삼성,OPS,1998,0.791
삼성,OPS,1999,0.824
삼성,OPS,2000,0.719
삼성,OPS,2001,0.798
삼성,OPS,2002,0.668
삼성,OPS,2003,0.682
삼성,OPS,2004,0.699
삼성,OPS,2005,0.694
삼성,OPS,2006,0.684
삼성,OPS,2007,0.717
삼성,OPS,2008,0.762
삼성,OPS,2009,0.773
삼성,OPS,2010,0.813
삼성,OPS,2011,0.789
삼성,OPS,2012,0.69
삼성,OPS,2013,0.752
삼성,OPS,2014,0.848
삼성,OPS,2015,0.816
삼성,OPS,2016,0.793
삼성,OPS,2017,0.789
삼성,OPS,2018,0.827
삼성,OPS,2019,0.674
삼성,OPS,2020,0.761
삼성,타율,1982,0.266
삼성,타율,1983,0.263
삼성,타율,1984,0.27
삼성,타율,1985,0.276
삼성,타율,1986,0.276
삼성,타율,1987,0.319
삼성,타율,1988,0.278
삼성,타율,1989,0.272
삼성,타율,1990,0.263
삼성,타율,1991,0.272
삼성,타율,1992,0.265
삼성,타율,1993,0.268
삼성,타율,1994,0.26
삼성,타율,1995,0.25
삼성,타율,1996,0.249
삼성,타율,1997,0.277
삼성,타율,1998,0.268
삼성,타율,1999,0.273
삼성,타율,2000,0.269
삼성,타율,2001,0.277
삼성,타율,2002,0.284
삼성,타율,2003,0.284
삼성,타율,2004,0.269
삼성,타율,2005,0.268
삼성,타율,2006,0.255
삼성,타율,2007,0.254
삼성,타율,2008,0.258
삼성,타율,2009,0.275
삼성,타율,2010,0.273
삼성,타율,2011,0.259
삼성,타율,2012,0.272
삼성,타율,2013,0.283
삼성,타율,2014,0.313
삼성,타율,2015,0.319
삼성,타율,2016,0.293
삼성,타율,2017,0.279
삼성,타율,2018,0.288
삼성,타율,2019,0.256
삼성,타율,2020,0.268
쌍방울,출루율,1982,0.347
쌍방울,출루율,1983,0.333
쌍방울,출루율,1984,0.343
쌍방울,출루율,1985,0.355
쌍방울,출루율,1986,0.345
쌍방울,출루율,1987,0.367
쌍방울,출루율,1988,0.356
쌍방울,출루율,1989,0.346
쌍방울,출루율,1990,0.348
쌍방울,출루율,1991,0.357
쌍방울,출루율,1992,0.349
쌍방울,출루율,1993,0.344
쌍방울,출루율,1994,0.339
쌍방울,출루율,1995,0.324
쌍방울,출루율,1996,0.328
쌍방울,출루율,1997,0.356
쌍방울,출루율,1998,0.346
쌍방울,출루율,1999,0.352
쌍방울,출루율,2000,0.348
쌍방울,출루율,2001,0.363
쌍방울,출루율,2002,0.36
쌍방울,출루율,2003,0.362
쌍방울,출루율,2004,0.346
쌍방울,출루율,2005,0.357
쌍방울,출루율,2006,0.341
쌍방울,출루율,2007,0.349
쌍방울,출루율,2008,0.344
쌍방울,출루율,2009,0.364
쌍방울,출루율,2010,0.368
쌍방울,출루율,2011,0.343
쌍방울,출루율,2012,0.353
쌍방울,출루율,2013,0.359
쌍방울,출루율,2014,0.378
쌍방울,출루율,2015,0.378
쌍방울,출루율,2016,0.367
쌍방울,출루율,2017,0.34
쌍방울,출루율,2018,0.355
쌍방울,출루율,2019,0.329
쌍방울,출루율,2020,0.338
쌍방울,장타력,1982,0.392
쌍방울,장타력,1983,0.393
쌍방울,장타력,1984,0.396
쌍방울,장타력,1985,0.417
쌍방울,장타력,1986,0.398
쌍방울,장타력,1987,0.444
쌍방울,장타력,1988,0.399
쌍방울,장타력,1989,0.397
쌍방울,장타력,1990,0.411
쌍방울,장타력,1991,0.446
쌍방울,장타력,1992,0.435
쌍방울,장타력,1993,0.476
쌍방울,장타력,1994,0.386
쌍방울,장타력,1995,0.374
쌍방울,장타력,1996,0.37
쌍방울,장타력,1997,0.462
쌍방울,장타력,1998,0.428
쌍방울,장타력,1999,0.46
쌍방울,장타력,2000,0.447
쌍방울,장타력,2001,0.447
쌍방울,장타력,2002,0.472
쌍방울,장타력,2003,0.482
쌍방울,장타력,2004,0.411
쌍방울,장타력,2005,0.391
쌍방울,장타력,2006,0.36
쌍방울,장타력,2007,0.365
쌍방울,장타력,2008,0.376
쌍방울,장타력,2009,0.432
쌍방울,장타력,2010,0.46
쌍방울,장타력,2011,0.376
쌍방울,장타력,2012,0.389
쌍방울,장타력,2013,0.416
쌍방울,장타력,2014,0.473
쌍방울,장타력,2015,0.469
쌍방울,장타력,2016,0.439
쌍방울,장타력,2017,0.429
쌍방울,장타력,2018,0.432
쌍방울,장타력,2019,0.389
쌍방울,장타력,2020,0.394
